               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.045784,            0.035201,           0.0027099,             0.95043,             0.66667,             0.81607,             0.63556,            0.032791,            0.031507,           0.0026455,            0.005182,            0.005182,            0.005182
                 148,            0.046346,            0.034459,           0.0024558,             0.93842,             0.66667,             0.81164,             0.63861,            0.033928,            0.031468,            0.002605,            0.005149,            0.005149,            0.005149
                 149,            0.047948,             0.03181,           0.0028864,             0.91688,             0.64444,             0.80833,              0.5877,            0.038048,            0.030757,           0.0022941,            0.005116,            0.005116,            0.005116
                 150,            0.047682,            0.032531,           0.0021451,             0.69093,             0.83333,             0.85631,             0.50834,            0.042277,            0.029236,           0.0019174,            0.005083,            0.005083,            0.005083
                 151,            0.048192,            0.033459,           0.0031691,             0.71708,             0.92593,             0.97357,             0.67777,             0.03682,            0.027736,            0.001528,             0.00505,             0.00505,             0.00505
                 152,            0.050041,            0.037073,           0.0022325,             0.68463,             0.83333,             0.82177,             0.64105,            0.037719,            0.028869,           0.0015163,            0.005017,            0.005017,            0.005017
                 153,            0.046196,            0.030953,           0.0020641,             0.95053,             0.65034,             0.81704,             0.60448,            0.038851,            0.030825,           0.0016832,            0.004984,            0.004984,            0.004984
                 154,            0.043865,            0.029723,           0.0018638,             0.94853,             0.66506,             0.81251,             0.66324,            0.036395,            0.031888,           0.0016961,            0.004951,            0.004951,            0.004951
                 155,            0.045295,            0.030474,           0.0019574,             0.93384,             0.64444,             0.64504,             0.52004,            0.031239,            0.034014,           0.0020504,            0.004918,            0.004918,            0.004918
                 156,            0.049332,            0.036093,           0.0022182,             0.95163,             0.66667,              0.6716,             0.53637,            0.034933,            0.034176,           0.0019972,            0.004885,            0.004885,            0.004885
